core_name_norm,freq,judete_n,uats_n,sample_name,judete_list,table,full_name,gender,birth_year,death_year,era,profession,nationality,wikidata_qid,term,nature_type,category,subcategory,place_name,place_type,country,notes
teilor,,,,,,nature_terms,,,,,,,,,Teilor,tree,,,,,,
alunului,,,,,,nature_terms,,,,,,,,,Alunului,tree,,,,,,
frasinului,,,,,,nature_terms,,,,,,,,,Frasinului,tree,,,,,,
mesteacanului,,,,,,nature_terms,,,,,,,,,Mesteacănului,tree,,,,,,
fagului,,,,,,nature_terms,,,,,,,,,Fagului,tree,,,,,,
pinului,,,,,,nature_terms,,,,,,,,,Pinului,tree,,,,,,
socului,,,,,,nature_terms,,,,,,,,,Socului,tree,,,,,,
artarului,,,,,,nature_terms,,,,,,,,,Arțarului,tree,,,,,,
gorunului,,,,,,nature_terms,,,,,,,,,Gorunului,tree,,,,,,
malinului,,,,,,nature_terms,,,,,,,,,Mălinului,tree,,,,,,
paltinului,,,,,,nature_terms,,,,,,,,,Paltinului,tree,,,,,,
molidului,,,,,,nature_terms,,,,,,,,,Molidului,tree,,,,,,
arinului,,,,,,nature_terms,,,,,,,,,Arinului,tree,,,,,,
ulmului,,,,,,nature_terms,,,,,,,,,Ulmului,tree,,,,,,
visinului,,,,,,nature_terms,,,,,,,,,Vișinului,tree,,,,,,
dudului,,,,,,nature_terms,,,,,,,,,Dudului,tree,,,,,,
duzilor,,,,,,nature_terms,,,,,,,,,Duzilor,tree,,,,,,
caisului,,,,,,nature_terms,,,,,,,,,Caisului,tree,,,,,,
prunului,,,,,,nature_terms,,,,,,,,,Prunului,tree,,,,,,
prunilor,,,,,,nature_terms,,,,,,,,,Prunilor,tree,,,,,,
salciilor,,,,,,nature_terms,,,,,,,,,Salciilor,tree,,,,,,
carpenului,,,,,,nature_terms,,,,,,,,,Carpenului,tree,,,,,,
gutuiului,,,,,,nature_terms,,,,,,,,,Gutuiului,tree,,,,,,
gutuilor,,,,,,nature_terms,,,,,,,,,Gutuilor,tree,,,,,,
ficusului,,,,,,nature_terms,,,,,,,,,Ficusului,tree,,,,,,
castanului,,,,,,nature_terms,,,,,,,,,Castanului,tree,,,,,,
stejarilor,,,,,,nature_terms,,,,,,,,,Stejarilor,tree,,,,,,
arinilor,,,,,,nature_terms,,,,,,,,,Arinilor,tree,,,,,,
pinilor,,,,,,nature_terms,,,,,,,,,Pinilor,tree,,,,,,
caisilor,,,,,,nature_terms,,,,,,,,,Caișilor,tree,,,,,,
piersicului,,,,,,nature_terms,,,,,,,,,Piersicului,tree,,,,,,
piersicilor,,,,,,nature_terms,,,,,,,,,Piersicilor,tree,,,,,,
perilor,,,,,,nature_terms,,,,,,,,,Perilor,tree,,,,,,
parului,,,,,,nature_terms,,,,,,,,,Parului,tree,,,,,,
cornului,,,,,,nature_terms,,,,,,,,,Cornului,tree,,,,,,
catinei,,,,,,nature_terms,,,,,,,,,Cătinei,tree,,,,,,
